,BV号,情感指数
476,BV1D54y1p7i7.csv,0.489
477,BV1d54y1s7dj.csv,0.5486
478,BV1D54y1W73h.csv,0.6346
479,BV1dh411y7oh.csv,0.4743
480,BV1Dy4y117pC.csv,0.4718
481,BV1dy4y1E7SS.csv,0.5495
482,BV1dz4y127dZ.csv,0.6912
483,BV1eA411u7hJ.csv,0.5345
484,BV1EN411o7kZ.csv,0.746
485,BV1ev411e7bw.csv,0.617
486,BV1Fo4y1Z7nW.csv,0.5733
487,BV1Fv411v7JS.csv,0.5651
488,BV1gf4y1z7ud.csv,0.5813
489,BV1Gh41127VJ.csv,0.4627
490,BV1gK4y1p7Rk.csv,0.5061
491,BV1Gr4y1K7fr.csv,0.524
492,BV1gt4y167cD.csv,0.5193
493,BV1GT4y1P7x6.csv,0.6715
494,BV1Hh411y72f.csv,0.5973
495,BV1HK4y1p7pa.csv,0.5982
496,BV1iA411H7SZ.csv,0.6225
497,BV1iN411X7Tc.csv,0.5541
498,BV1Jh411C7Rg.csv,0.6845
499,BV1JN41197yW.csv,0.654
500,BV1jN411o7o4.csv,0.4923
501,BV1jU4y1s7kt.csv,0.5526
502,BV1K54y1x7ba.csv,0.7168
503,BV1KK4y1W7KJ.csv,0.5738
504,BV1kr4y1N7P7.csv,0.5482
505,BV1KU4y1s7yv.csv,0.5711
506,BV1Lf4y1r7dZ.csv,0.5719
507,BV1Mf4y167S5.csv,0.5278
508,BV1Mi4y1F75f.csv,0.696
509,BV1mo4y1R7i4.csv,0.5863
510,BV1Mv411Y7RC.csv,0.6012
511,BV1Nb4y1R7Ps.csv,0.5044
512,BV1nb4y1R7Yu.csv,0.8688
513,BV1no4y1d7o8.csv,0.3671
514,BV1Nr4y1K7gY.csv,0.6254
515,BV1nv411e7hJ.csv,0.5008
516,BV1oK4y1H7wy.csv,0.5816
517,BV1or4y1T7e7.csv,0.5162
518,BV1oX4y1P7m2.csv,0.5818
519,BV1PU4y1476y.csv,0.5743
520,BV1py4y1Y7Yb.csv,0.5522
521,BV1Pz4y1m7j7.csv,0.536
522,BV1Q5411J7e7.csv,0.5557
523,BV1qK411u7kE.csv,0.582
524,BV1qo4y1R7wq.csv,0.5494
525,BV1QX4y1P7jU.csv,0.6948
526,BV1Qy4y117iw.csv,0.4944
527,BV1rA411W74x.csv,0.5453
528,BV1rU4y147bq.csv,0.5443
529,BV1s54y1p79i.csv,0.5317
530,BV1s54y1p7kS.csv,0.5431
531,BV1SA411u7FS.csv,0.5165
532,BV1Sh411y7nB.csv,0.4858
533,BV1SK4y1n7sD.csv,0.423
534,BV1sN411o721.csv,0.4973
535,BV1so4y197ND.csv,0.6997
536,BV1SV411i7de.csv,0.5977
537,BV1ti4y1T7JR.csv,0.6416
538,BV1tK4y1n7A5.csv,0.5589
539,BV1TN411d7FL.csv,0.565
540,BV1tV411q7vB.csv,0.4382
541,BV1UK4y1D7uf.csv,0.6004
542,BV1UK4y1Q7F4.csv,0.7365
543,BV1ur4y1K7F7.csv,0.4601
544,BV1uv411x7cw.csv,0.5751
545,BV1Uy4y1U7Kz.csv,0.5709
546,BV1Uz4y1y7wu.csv,0.6114
547,BV1Vf4y1y7un.csv,0.5307
548,BV1vK4y1n7En.csv,0.6146
549,BV1vK4y1n7Xu.csv,0.549
550,BV1WA411M7Zn.csv,0.4657
551,BV1wN411d7H5.csv,0.446
552,BV1wv4y1f7pU.csv,0.5408
553,BV1Xa4y1n7fP.csv,0.4924
554,BV1xy4y1275r.csv,0.4753
555,BV1YN411o7Qb.csv,0.5723
556,BV1yp4y1p7zv.csv,0.5305
557,BV1yX4y157Bu.csv,0.4959
558,BV1yy4y1J7xp.csv,0.6602
559,BV1Z54y1p78f.csv,0.5617
560,BV1Zf4y1z7Dw.csv,0.5393
561,BV1Zh411C7j7.csv,0.5072
562,BV1ZK4y1Q7Ks.csv,0.5994
563,BV1ZT4y1N7wS.csv,0.3614
564,BV1Zv411e7AM.csv,0.6156
565,BV1zy4y1E79s.csv,0.527
