,词语,次数
1298,除了,34
1299,呵呵,81
1300,决定,16
1301,滚,46
1302,是因为,31
1303,厚葬,1
1304,友军,2
1305,恶臭,7
1306,老,105
1307,舔,74
1308,胚,1
1309,踏,8
1310,弱智,7
1311,依法,23
1312,24,7
1313,小时,113
1314,上班,70
1315,官腔,4
1316,加,37
1317,nmb,3
1318,回去,21
1319,加班,117
1320,p,13
1321,公务员法,2
1322,咱,7
1323,国家,44
1324,原来,57
1325,眼里,1
1326,没光,1
1327,人情,25
1328,人情世故,4
1329,世故,5
1330,服从,3
1331,无理,1
1332,要求,29
1333,可去,2
1334,尼,3
1335,雪,4
1336,碧,1
1337,…？,2
1338,？？？？？？？？？？？,4
1339,what,1
1340,打工,44
1341,工人,52
1342,努力,52
1343,换,38
1344,路,34
1345,虎,2
1346,带上,1
1347,杜蕾斯,1
1348,007,30
1349,展示,3
1350,服从性,1
1351,奴性,7
1352,思维,19
1353,主见,5
1354,低于,2
1355,标准分,1
1356,能耐,1
1357,拍马,10
1358,拍马屁,10
1359,马屁,12
1360,打通,1
1361,恶心,18
1362,奋斗,18
1363,b,50
1364,垃圾,29
1365,班,21
1366,特色,9
1367,算,60
1368,公司,243
1369,章程,1
1370,汪汪,4
1371,做人,6
1372,文员,2
1373,活,61
1374,非你不可,6
1375,干,159
1376,了解,30
1377,真是,42
1378,背书,1
1379,书机,1
1380,说谎,6
1381,试开,3
1382,放屁,47
1383,66666,12
1384,每个,42
1385,仁义,1
1386,客套,2
1387,词,9
1388,怂,7
1389,挂,52
1390,电话,18
1391,推迟,1
1392,没空,7
1393,成功,108
1394,讨厌,28
1395,接电,4
1396,接电话,4
1397,在家,9
1398,休息,38
1399,瞎,9
1400,外出,2
1401,事实,23
1402,实是,30
1403,赶,1
1404,异地,1
1405,一年,32
1406,沃,3
1407,外地,8
1408,变态,3
1409,于,12
1410,情,4
1411,鬼,32
1412,吖,3
1413,经过,6
1414,真实情况,1
1415,实情,1
1416,场面,7
1417,场面话,1
1418,标准答案,3
1419,工资,140
1420,到位,17
1421,明白,39
1422,火星,2
1423,杨,4
1424,笠,1
1425,滴,18
1426,乖,2
1427,贱,20
1428,骨子,1
1429,骨子里,1
1430,社,15
1431,畜,9
1432,背地,1
1433,背地里,1
1434,地里,1
1435,对骂,2
1436,骂人,10
1437,爹妈,1
1438,随叫随到,1
1439,废话,9
1440,那么,92
1441,鬼话,9
1442,鬼话连篇,7
1443,连篇,7
1444,先,48
1445,隔离,2
1446,四十,5
1447,四十天,1
1448,十天,1
1449,在外,6
1450,一时,3
1451,一时半会,1
1452,一时半会儿,1
1453,会儿,4
1454,回不去,3
1455,速成,2
1456,成为,15
1457,忽悠,17
1458,老油条,5
1459,油条,6
1460,使劲,5
1461,？？？？？？？？？？,7
1462,碰到,5
1463,奴,4
1464,gun,2
1465,如果,63
1466,去路,1
1467,路费,1
1468,不报,2
1469,报销,1
1470,那大,1
1471,大抵,1
1472,没下,1
1473,贱种,1
1474,事,79
1475,提,11
1476,地,19
1477,角度,9
1478,渐渐,1
1479,第一个,12
1480,第二个,1
1481,二个,5
1482,接,11
1483,连续,8
1484,是非,16
1485,第一句,1
1486,单位,80
1487,其他,37
1488,其他人,7
1489,他人,13
1490,卷,28
1491,完,102
1492,怕,408
1493,吐,36
1494,不在,22
1495,义务,5
1496,之内,2
1497,小学,16
1498,小学生,10
1499,(￣,1
1500,o,7
1501,￣),2
1502,z,3
1503,Z,1
1504,公休,8
1505,非我不可,1
1506,每次,12
1507,喊,8
1508,给钱,15
1509,够,29
1510,假期,6
1511,哈,22
1512,皮,6
1513,不服,9
1514,哒,8
1515,拒绝,16
1516,接关,2
1517,关机,5
1518,毛,22
1519,不然,32
1520,打死,12
1521,净,4
1522,脸上,5
1523,笑嘻嘻,1
1524,嘻嘻,4
1525,心里,19
1526,里马,1
1527,卖,40
1528,啤,4
1529,相信,13
1530,投资,5
1531,节目,12
1532,拉倒,21
1533,至于,17
1534,做事,17
1535,一套,13
1536,等于,9
1537,格,3
1538,憨,17
1539,彻底,1
1540,唉,28
1541,可悲,2
1542,不到,59
1543,放完,1
1544,666666,7
1545,妹,4
1546,老板,201
1547,狗东西,9
1548,扯淡,45
1549,回来,17
1550,打扫,2
1551,下周,2
1552,视察,1
1553,加钱,12
1554,扯皮,2
1555,情愿,4
1556,这部,1
1557,这部分,1
1558,ma,1
1559,调动,1
1560,缺德,2
1561,看见,14
1562,拨打,1
1563,用户,5
1564,服务,17
1565,服务区,1
1566,大哥,9
1567,哥们,1
1568,开启,1
1569,勿扰,1
1570,chishi,1
1571,自作,1
1572,自作多情,1
1573,多情,2
1574,压榨,13
1575,真够,3
1576,一口,4
1577,盐汽水,1
1578,汽水,1
1579,喷,19
1580,一个月,31
1581,开,105
1582,2300,3
1583,带电,2
1584,一回,3
1585,回事,10
1586,眛,1
1587,良心,18
1588,心累,6
1589,累不累,3
1590,不累,5
1591,辞,3
1592,越来,18
1593,越来越,18
1594,沉,4
1595,练,60
1596,托福,1
1597,口语,1
1598,价值,20
1599,价值观,5
1600,收入,10
1601,挂钩,1
1602,通常,3
1603,很紧,2
1604,听到,12
1605,很气,2
1606,气愤,3
1607,虚伪,7
1608,反应,7
1609,真他妈,2
1610,码,16
1611,。（,2
1612,）（,1
1613,手动,16
1614,狗头,19
1615,nm,4
1616,巴黎,2
1617,谢,8
1618,邀,2
1619,现实生活,4
1620,生活,60
1621,取,9
1622,注,1
1623,问答,1
1624,说实话,16
1625,实话,49
1626,选拔,1
1627,臭,11
1628,教坏,3
1629,下一代,4
1630,一代,8
1631,跪下,4
1632,过分,16
1633,劳动,47
1634,劳动法,8
1635,看看,39
1636,看官,1
1637,官场,2
1638,些,16
1639,什么样,4
1640,毫无,7
1641,尊严,2
1642,可言,2
1643,跪,4
1644,回,19
1645,好处,9
1646,认识,15
1647,难怪,9
1648,优秀员工,1
1649,员工,44
1650,神经,11
1651,神经病,10
1652,胡说,33
1653,胡说八道,31
1654,八道,32
1655,打印文件,1
1656,印文,1
1657,文件,10
1658,不想,55
1659,锻炼,16
1660,性,6
1661,难度,5
1662,敷衍,1
1663,哈哈笑,11
1664,将,8
1665,外军,1
1666,军令,1
1667,有所,3
1668,不受,5
1669,一堆,18
1670,玩手,5
1671,核心,2
1672,放得,1
1673,一手,5
1674,罗圈,1
1675,煞笔,9
1676,玩意,33
1677,反,4
1678,社会,75
1679,闲,12
1680,一个个,6
1681,个个,7
1682,牛鼻,1
1683,轰轰,1
1684,狗腿,1
1685,一位,9
1686,辞职,57
1687,少,75
1688,地球,3
1689,转,16
1690,听话,6
1691,对了,41
1692,爷,17
1693,南极,2
1694,京,2
1695,两天,8
1696,上到,3
1697,？？？？）,1
1698,人言,3
1699,监狱,6
1700,民间,2
1701,酒囊饭袋,3
1702,饭袋,3
1703,关人,1
1704,电池,2
1705,时代,9
1706,远程,6
1707,工资待遇,1
1708,待遇,4
1709,正常,53
1710,毛线,5
1711,ex,3
1712,路上,13
1713,磨蹭,1
1714,两三,4
1715,两三天,1
1716,三天,6
1717,然而,14
1718,一分,4
1719,一分钱,3
1720,分钱,4
1721,加班费,11
1722,班费,12
1723,结果,28
1724,侮辱,16
1725,可不,17
1726,没事,40
1727,劳资,1
1728,关于,2
1729,周五,1
1730,五晚,1
1731,晚上,18
1732,周六,5
1733,通知,14
1734,日常,3
1735,假装,2
1736,”。,1
1737,面,13
1738,人精,1
1739,实证,1
1740,里来,5
1741,故事,11
1742,站起,8
1743,nmd,2
1744,无语,16
1745,某些,7
1746,人口,13
1747,口头禅,1
1748,有没有,19
1749,发展,14
1750,眼光,2
1751,无神,2
1752,凹,2
1753,纵容,1
1754,不通,3
1755,》，,1
1756,没法,6
1757,纸上谈兵,5
1758,谈兵,5
1759,擦,8
1760,！”,1
1761,进去,15
1762,装,30
1763,修,10
1764,真不,21
1765,不好意思,19
1766,好意,25
1767,好意思,21
1768,痛,4
1769,前提,6
1770,老婆,33
1771,孩子,72
1772,难产,1
1773,大出血,1
1774,出血,1
1775,想要,18
1776,虽然,22
1777,没去,5
1778,之后,24
1779,屁事,24
1780,导电,1
1781,您好,2
1782,拔,4
1783,号码,2
1784,空号,1
1785,天狗,2
1786,黑,21
1787,放出,1
1788,职务,2
1789,今天,20
1790,可怕,23
1791,地点,1
